Title;Abstract;Focus area(s);Geographical coverage;Type of resource;Entity;Publication date;Authors;DOI/URI;Tags;
Maternity leave and womenŐs labor market status in Kosovo: five key messages;"Labor market engagement of women is very low in Kosovo - only 12.5 percent of women of working age are employed compared to 41.3 percent of men - suggesting that women face obstacles to work and or being hired. These barriers can be related to a multiplicity of factors, including labor regulations - such as maternity provisions - but also others such as disincentives to work from taxes and social protection systems; limited flexible work arrangements; limited access to information, networks, and productive inputs such as credit; and lack of access to childcare, coupled with social norms and attitudes towards women. This note focuses specifically on regulations related to maternity and family leave, and their potential impact on womenŐs labor market outcomes. Legislation on maternity leave in Kosovo was enacted with the law on labor on December 2010, providing mothers to nine months of paid leave and three months of unpaid leave. The note is organized around five main messages that emerge from reviewing the evidence of the impact of maternity leave on female labor force participation and employment, both through international benchmarking of maternity leave duration and payment forms in Kosovo, review of existing studies, and through data collection and analysis of Kosovo-specific qualitative evidence.";Access to Jobs, Ownership and Use of Economic Assets, Access to and Use of Services;Eastern Europe;Working paper;World Bank Group;Jan-18;"Davalos,ĘMariaĘEugenia;ĘElezaj,ĘEreblina;ĘThurau,ĘJuliannaĘFlanagan;ĘRodriguez Chamussy, Lourdes";http://documents.worldbank.org/curated/en/355271521449544766/Maternity-leave-and-women-s-labor-market-status-in-Kosovo-five-key-messages;Employment Access & Opportunities, Care, Basic Services, Norms, Access to Capital & Productive Inputs, Social Protection;
Gender in Waiting: Men and Women Asylum Seekers in European Reception Facilities;This paper explores how men and women experience their time waiting for a response to applications for international protection, in asylum seekersŐ reception centers in Italy and Greece. The experience of waiting in camps can be characterized as one of extended uncertainty, during which women and men live lives in a new environment, with limited physical and social interactions with local communities. Qualitative data collected in early 2017 reveals that these prolonged waits generate various vulnerabilities, some compounding those already caused by trying journeys, which include gender-specific vulnerabilities. In addition, the paper provides an overview of the aspirations men and women asylum seekers hold as they look at the future. These aspirations are informed by pre-existing gender and social norms, but their development appears to be influenced also by the time in waiting. Specifically, aspirations seem constrained for all by the high levels of uncertainty and duration of the legal process, as well as by limited information, and barriers to interactions with local communities. Thus, men and women miss out on opportunities to qualify or broaden their aspirations, as they wait. Taking into account the different challenges and opportunities men and women asylum seekers face may be helpful in devising more targeted and thus effective policies with regards to asylum seekers during this period in waiting.;Other;Western Europe;Working paper;World Bank Group;Jan-19;"Demarchi, Giorgia; Lenehan, Sara";http://hdl.handle.net/10986/31209;Migration, External Shocks, Other;
Gender Gaps in Albania through the Lens of Poverty and Shared Prosperity: Findings from the 2012 LSMS;This report analyzes gender dimensions of poverty and shared prosperity in Albania using data from the most recent rounds of the Living Standards Measurement Survey (LSMS) Albania. The goal is understand both the distribution of poverty and lower economic outcomes for women and the underlying gender gaps contributing to these disparities. Two frameworks are used: the ECA Region Shared Prosperity Framework, which analyzes how productive assets create prosperity at the household level, and the World Development Report on Gender and Development, which presents an explicitly gendered framework in which individuals, households, and institutions interact.3 The report considers household composition, education, labor force participation and outcomes, social transfers, social capital, access to technology, and subjective poverty. The period available in the data, from 2008 to 2012, corresponds to the global financial crisis, which had a severe impact on the Albanian economy. This provides the opportunity to examine how key outcomes for women changed in a period of economic downturn. The report provides a rapid, broad overview of gender gaps based on new data from the 2012 LSMS, in the context of the Shared Prosperity and WDR frameworks. It examines gender differences between who is poor and in the bottom 40 percent of the population, and how they have changed since 2008. To understand the causes of gendered differences in poverty, the report then looks at gaps in key assets, asset use, wages, and transfers between men and women in 2012, as well as whether these gaps have widened or narrowed since 2008. The report is not meant to provide a complete and updated gender diagnostic for Albania, which would require review of policies and institutions and how they impact womenŐs endowments, use of endowments, and ability to benefit from the returns to endowments. The 2012 data also do not provide a complete picture of gender in marginalized ethnic communities or specific rural areas, because the survey design did not oversample these groups. This report uses primarily the official definition of poverty as those in households with per-person consumption of less than the national poverty line (6,412new lek/month). However, the final sections on social capital and participation and subjective poverty address some additional components of poverty included in more comprehensive definitions, individual experiences with poverty, ability to participate in society, and ability to access basic needs.;Other;Eastern Europe;Report;World Bank Group;Jan-12;"Golla, Anne Marie; D‡valos, Mar’a E";http://hdl.handle.net/10986/25205;Poverty;
Occupational Segregation and Declining Gender Wage Gap: The Case of Georgia;This paper examines the role of industrial and occupational segregation in explaining the gender wage gap and its evolution in Georgia between 2004 and 2015. It first documents the declining trends observed in the gender wage gap in Georgia during this period, commenting on some of the possible underlying factors driving such trends. It then presents evidence that employment patterns by industry and occupations are highly concentrated in the country and measures the degree of segregation using the Duncan index. Next, it analyzes if and how much industrial and occupational segregation have contributed to the gender wage gap and its decline by decomposing the gender wage gap into the within-category and between-category components. The results point to existing gender wage gaps within sectors, industries, and occupations being the primary drivers of the wage gap in Georgia, and find a smaller role of gender segregation per se in these categories.;Access to Jobs;Eastern Europe;Working paper;World Bank Group;Jan-18;"Khitarishvili, Tamar; Rodriguez-Chamussy, Lourdes; Sinha, Nistha";http://hdl.handle.net/10986/30428;Gender Pay Gap, Private Sector;
The Gender Gap in the Use of Financial Services in Turkey;"In this paper authors discuss environmental factors that might help explain the significantly low use of financial services by women in Turkey. For instance, The Gender Gap Report (2013) provides a cross-country rank and score across several socio-economic dimensions. Turkey ranks poorly - 120 out of 136 countries overall. In addition, associated employment data from the Gallup World Poll Survey shows a large gender gap in workforce participation in Turkey and suggests important implications for female workplace participation, 98 percent of wage employed women in Turkey are banked, as compared to 23 percent of the majority of women who report being out of the workforce. This paper proceeds as follows. Section two summarizes account ownership and usage in Turkey. Section three analyzes formal and informal saving rates; section four discusses the use of formal and informal credit and the high use of store credit cards. Section five examines gender differences in enterprise financing. Section six concludes. An Appendix includes detailed information on our regressionŐs analysis.";Access to and Use of Services;Europe, Central Asia;Working paper;World Bank Group;Jan-14;"Klapper, Leora; Munoz Boudet, Ana Maria; Singh, Sandeep";http://documents.worldbank.org/curated/en/589651625120215827/The-Gender-Gap-in-the-Use-of-Financial-Services-in-Turkey;Financial Services & Inclusion;
Why should we care about care? : the role of childcare and eldercare in Kosovo;Despite an increase in female labor participation between 2012 and 2013, 79 percent of women of working age remain out of the labor market in Kosovo. The conflicting demand of womenŐs time for care and work activities represents a fundamental barrier to economic participation and generates a vicious circle of low labor market attachment and prominence of the care provider role that leads to increased vulnerability and gender-based inequalities. This note examines the care needs of families with children and or elderly household members and the provision of formal care services in Kosovo with an emphasis on the availability, price, and quality characteristics. Based on the analysis of an independent mixed methods dataset collected in the Western Balkans region, this note documents perceptions and barriers for use of quality formal care in Kosovo.;Access to and Use of Services, Access to Jobs;Eastern Europe;Technical note;World Bank Group;Jan-15;"Levin, Victoria; Munoz Boudet, Ana Maria; Rosen, Beth Zikronah; Aritomi, Tami; Flanagan, Julianna; Rodriguez Chamussy, Lourdes";http://documents.worldbank.org/curated/en/749341521445655496/Why-should-we-care-about-care-the-role-of-childcare-and-eldercare-in-Kosovo;Employment Access & Opportunities, Basic Services, Care, Children;
Why should we care about care? : the role of childcare and eldercare in Serbia;Despite a slight increase in female labor participation between 2012 and 2013, employment rates in Serbia stood at 40.1 percent for women in 2013, almost 15 percentage points below employment rates for men (at 54.9 percent). International evidence shows that support for childcare and eldercare affects womenŐs labor market participation. This note examines the care needs of families with children and or elderly household members and the provision of formal care services in Serbia with an emphasis on the availability, price, and quality characteristics. Based on the analysis of an independent mixed-methods dataset collected in the Western Balkans region, this note documents the perceptions and barriers in the use of quality formal care in Serbia. Quality provision of formal eldercare can potentially improve health outcomes for the elderly through prevention, early detection, and consistent maintenance of chronic diseases, which may imply long-term cost savings in the healthcare sector.;Access to Jobs, Access to and Use of Services;Eastern Europe;Technical note;World Bank Group;Jan-16;"Levin, Victoria; Munoz Boudet, Ana Maria; Rosen, Beth Zikronah; Aritomi, Tami; Thurau, Julianna Flanagan; Rodriguez Chamussy, Lourdes";http://documents.worldbank.org/curated/en/540831521451295861/Why-should-we-care-about-care-the-role-of-childcare-and-eldercare-in-Serbia;Employment Access & Opportunities, Basic Services, Care, Children;
Why should we care about care? The role of childcare and eldercare in former Yugoslav Republic of Macedonia;This note examines the provision of childcare and eldercare in FYR Macedonia with an emphasis on the availability, price, and quality of care, and suggests policy priorities that address the identified challenges. The analysis in this note is based on a study aimed at exploring childcare and eldercare in the Western Balkans region, drawing primarily from a new mixed-methods dataset, described in the following section, and building on relevant quantitative surveys and data sources specific to Western Balkans countries. The note is structured as follows: section two introduces the new, independent mixed methods data set that is the basis for the analysis and findings presented. Section three describes the use of formal care arrangements in FYR Macedonia, based on the analysis of perspectives both from families with care needs and from care providers and discussing the role of norms and perceptions of childcare and eldercare use, the following sections are dedicated to the description of supply and demand of childcare and eldercare, respectively. Sections four and five focuses on the supply and demand of childcare, and sections six and seven describe supply and demand of eldercare. Section eight concludes by examining what we know in terms of policies that can support families in informal care provision in a sustainable and incentive-compatible manner.;Access to Jobs, Access to and Use of Services;Eastern Europe;Technical note;World Bank Group;Jan-15;"Levin, Victoria; Munoz Boudet, Ana Maria; Rosen, Beth Zikronah; Aritomi, Paola Tami; Thurau, Julianna Flanagan; Rodriguez Chamussy, Lourdes";http://documents.worldbank.org/curated/en/628391521458653856/Why-should-we-care-about-care-The-role-of-childcare-and-eldercare-in-former-Yugoslav-Republic-of-Macedonia;Employment Access & Opportunities, Basic Services, Care, Children;
Women and STEM in Europe and Central Asia;In the last decades, developed economies have witnessed significant declines in wages for low-skill workers, increases in employment in high-skill occupations, rapid diffusion of new technology, and expanding offshoring opportunities. Labor markets in developed countries have reallocated labor from manual to cognitive jobs and from routine to non-routine work. Overall, workers are now required to do more complex tasks than before. In a changing labor market, education systems should impart the right skills, ideally both foundational ones and additional skills that will be amenable to adaptation and re-training to match with job opportunities. This is even more important in the ECA region given the context of the increasing share of older people who will depend on todayŐs generation of children when they join the working age population. WomenŐs access to and progress in what is generally referred to as STEM fields of science, technology, engineering, and mathematics are topics that have been growing in significance in recent years. The interest in gender segregation in STEM, as in other sectors, arises mainly from the role segregation plays in gender inequality in the labor markets. Gender differences in productivity and earnings are systematic and persistent as women exhibit lower average productivity and earn lower wages than men across the board. The report is organized into three chapters. The first one looks at education - including STEM content and fields of study that are within the education realm. The second one follows women into the labor market and looks at employment and wages in STEM sectors and for STEM occupations. The final section looks at policies, from the many initiatives and efforts in place to promote womenŐs participation in STEM, with a focus on those that have documented results.;Human Capital, Access to Jobs;Europe, Central Asia;Report;World Bank Group;Jan-21;"Munoz Boudet,Ana Maria; Rodriguez Chamussy,Lourdes; Oral Savonitto,Isil; Chiarella,Christina";http://documents.worldbank.org/curated/en/306791618914384894/Women-and-STEM-in-Europe-and-Central-Asia;Education, Productivity, Employment Access & Opportunities;
Gender Discrimination in Hiring: Evidence from an Audit Experiment in Uzbekistan;This paper studies gender discrimination in hiring through an experiment that randomly assigned fictitious resumes to job advertisements in Uzbekistan. The experiment focused on positions commonly advertised in the local context, such as accountants, office managers, information technology specialists, welders, call center operators, and drivers in the capital city. With the single exception of the applicant's gender (signaled by the person's name), the resumes were identical within each job category. The study finds strong evidence of prevalent and economically significant gender discrimination in response rates. Despite identical qualifications, we find that in female-dominated professions, women were 185 percent more likely to get a callback than men, and in male-dominated professions, men were 79 percent more likely to get a callback than women. The findings suggest strong gender discrimination in hiring practices in Uzbekistan.;Access to Jobs, Other;Central Asia;Working paper;World Bank Group;Jan-21;"Muradova, Sevilya; Seitz, William";https://doi.org/10.1596/1813-9450-9784;Discrimination, Norms, Employment Access & Opportunities;
A Field Experiment on the Role of Socioemotional Skills and Gender for Hiring in Turkey;A vast literature shows the importance of socioemotional skills in earnings and employment, but whether they matter in getting hired remains unanswered. This study seeks to address this question and further investigates whether socioemotional skill signals in job applicants' resumes have the same value for male and female candidates. In a large-scale randomized audit study, an online job portal in Turkey is used to send fictitious resumes to real job openings, collecting a unique data set that enables investigating different stages of candidate screening. The study finds that socioemotional skills appear to be valued only when an employer specifically asks for such skills in the vacancy ad. When not asked for, however, candidates can face a penalty in the form of lower callback rates. A significant penalty is only observed for women, not for men. The study does not find evidence of other gender differences in the hiring process.;Other;Europe, Central Asia;Working paper;World Bank Group;Jan-20;"Nas Ozen, Efsan; Hut, Stefan; Levin, Victoria; Munoz Boudet, Ana Maria";http://hdl.handle.net/10986/33359;Norms, Employment Access & Opportunities, Private Sector;
When Do Gender Wage Differences Emerge? : A Study of Azerbaijan's Labor Market;Building on recent analyses that find a sizeable overall gender wage gap in Azerbaijan's workforce, this paper uses data on young workers in their early years in the labor market to understand how gender wage gaps evolve over time, if at all. The paper uses a unique database from a survey of young people ages 15Đ29 years. The analysis provides evidence that new labor market entrants begin with little or no gender differences in earnings, but a wage gap gradually emerges over time closer to the childbearing years. The gender wage gap grows from virtually zero, or even a small, positive gap in favor of women, until age 20 years, to about 20 percent two years later and even more than 30 percent at age 29 years. The gap in labor supply rises from almost zero to about 20 percent during the years from 19 to 22, while the gap in hours worked falls from positive (up to six hours per week more than their male counterparts) to negative (up to five hours per week less) over the same period in the life cycle. When decomposing the gap at different deciles of the wage distribution, it appears that most of it is at the lower and upper ends of the distribution, among young adults and prime-age workers. Selection of women into employment is strong and strongly skill-based: when controlling for sample selection bias, the gender gap becomes positive.;Other;Eastern Europe;Working paper;World Bank Group;Jan-16;"Pastore, Francesco; Sattar, Sarosh; Sinha, Nistha; Tiongson, Erwin R.";http://hdl.handle.net/10986/24155;Gender Pay Gap, Care, Youth;
The Economics of the Gender Wage Gap in Armenia;"In Armenia, the proportion of women among employed workers increased from 45 to 48 percent between 2008 and 2015. This evolution was accompanied by a fall in the gender earnings gap; however, the difference in average wages of men and women is still among the largest in comparison with countries in the Europe and Central Asia region. This study documents the gender wage gap in Armenia through stylized facts and further investigates its sources. The paper finds that the gender wage gap in hourly pay is 20 percent on average. Looking at the different percentiles, the disparity in wages in Armenia in 2015 shows an inverted U-shaped form with a larger differential in wages between men and women in the middle of the distribution. Using a reweighted, re-centered influence function decomposition, the analysis estimates the contribution of each covariate on the wage structure and composition effects along the wage distribution. The decomposition shows that the wage gap in Armenia is mostly driven by the wage structure effect (unexplained component), which accounts for almost all the wage gap in the middle part of the distribution (30th to 55th percentiles) and is even greater at the top, but better endowments of women offset it to some extent. In the bottom part of the distribution however, the composition effect is larger, consistent with lower endowments among women, for example, of skills and human capital.";Human Capital, Other;Eastern Europe;Working paper;World Bank Group;Jan-18;"Rodriguez-Chamussy, Lourdes; Sinha, Nistha; Atencio, Andrea";http://hdl.handle.net/10986/29711;Gender Pay Gap, Education, Discrimination;
A Structural Model of the Labor Market to Understand Gender Gaps among Marginalized Roma Communities;This paper constructs and estimates a household-level search model to analyze Roma spouses' utility maximization for leisure, home production, and work. The paper aims to explain labor market gender gaps in a marginalized Roma population with low labor market participation rates (males 53 percent and females 17 percent). The analysis uses data from the 2017 Regional Roma Survey for six Western Balkan countries. The simulation results show that the main source for gender differentials in the labor market is the unequal opportunities in favor of males -- not gender preferences or differences in home production productivity. Therefore, most of the gender differences in the labor market can be closed by providing wives the same labor market conditions as husbands. Counterfactual policy experiments show that policies that increase the frequency of receiving a job offer, decrease the frequency of laying off workers, and reduce search increase Roma husbands' labor participation. Policies that equalize wages induces more wives to join the labor market and husbands to withdraw from it. This outcome signals that the wage gap is the dimension that deters the greatest number of Roma wives from joining the labor market.;Access to Jobs, Other;Eastern Europe;Working paper;World Bank Group;Jan-20;"Salazar-Saenz, Mauricio; Robayo-Abril, Monica";http://hdl.handle.net/10986/34484;Gender Pay Gap, Employment Access & Opportunities, Economic Empowerment;
Kosovo:ĘGender Gaps in Education, Health, and Economic Opportunities;"Kosovo is one of the poorest countries in Europe (World Bank 2010). In 2009, 35 percent of the population lived below the poverty line. This note was prepared primarily as a key input to the Kosovo country partnership strategy (FY2012 to FY2015) and aims to provide an overview of gender disparities in three major domains: human capital, labor market, and entrepreneurship. The note provides a broad picture of gender disparities in Kosovo in education, health, and access to economic opportunities. Lack of statistical data on Kosovo, and particularly of gender-disaggregated data, limits the depth and scope of this gender diagnostic. Men and women in Kosovo have lower education levels than men and women in the European Union (EU). Women comprise less than 10 percent of all entrepreneurs and 0.3 percent of top management positions. This note is organized as follows: section one highlights gender differences in human capital focusing on education and health outcomes; section two describes men's and women's relative employment patterns; section three focuses on gender disparities in entrepreneurship and career advancement in business and politics; and section four provides concluding observations.";Human Capital, Access to Jobs;Eastern Europe;Technical note;World Bank Group;Jan-12;World Bank;http://hdl.handle.net/10986/26830;Education, Entrepreneurship, Employment Access & Opportunities, Leadership & Management, Health;
Kyrgyz Republic: Gender Disparities in Endowments and Access to Economic OpportunitiesĘ;The paper aims to provide an overview of the gender disparities in three major domains-human capital, labor market and entrepreneurship. In doing so, it builds on the framework of the World Bank's regional gender report opportunities for men and women: emerging Europe and Central Asia (World Bank, 2011) and the world development report on gender and development (World Bank, 2011). This joint gender assessment work has the objectives of analyzing the gender dimensions of development of the country and proposing a conceptual framework which will assist in explaining gender inequality and recommending public actions for consideration by policy makers and civil society. This report is an input into the larger country gender assessment. In agreement with the other partners, the scope of this report is limited to quantitative analysis of the gender aspects of the human capital development, labor market disparities, entrepreneurship, career advancement and wage differentials, using nationally representative household survey data. The rest of this paper is organized as follows: section one provides an analysis of gender disparities in human capital focusing on education and health outcomes, section two describes men's and women's employment patterns, section three discusses differences in earnings, section four focuses on men's and women's entrepreneurship and possibilities for career advancement in business and politics and section five provides concluding observations.;Access to Jobs, Human Capital;Central Asia;Working paper;World Bank Group;Jan-12;World Bank;http://hdl.handle.net/10986/11923;Education, Entrepreneurship, Employment Access & Opportunities, Gender Pay Gap, Leadership & Management, Health;
Supply and Demand for Child Care Services in Turkey: A Mixed Methods Study;Despite increases in availability of center based child care and preschool services in Turkey over the last decade, both the supply of services and utilization remain low. There are regional disparities in availability and the majority of children and households remain unserved in terms of child care and preschool services. This report has collected and assessed information on the supply and demand for child care services in Turkey with the objective of identifying key constraints and opportunities to expand quality and affordable access. The analysis in this report shows that current utilization of child care services cannot be construed as lack of demand for services, but rather as a lack of demand for services at existing cost and price-quality structures. Existing services that respond to the needs of working mothers are mainly private services and tend to be more expensively priced than the willingness and ability to pay of the average household. For most women the difference between earnings and the cost of care is too low to justify joining the labor force and their willingness to pay for care does not cover the current median prices for child care and kindergarten services.;Access to and Use of Services;Europe, Central Asia;Report;World Bank Group;Jan-15;World Bank;http://hdl.handle.net/10986/22744;Care, Basic Services;
Why Should We Care About Care? The Role of Childcare and Eldercare in Armenia;Only 56 percent of women ages 15-64 participate in the labor market, a slightly higher share than the Europe and Central Asia average, but 18 percentage points lower than the share among men in Armenia. The conflicting demand on women's time for care and work activities represents a fundamental barrier to economic participation and generates a vicious circle of low labor market attachment and prominence of the care provider role that leads to increased vulnerability and gender-based inequalities. International evidence shows that support for childcare and eldercare affects women's labor market participation. This note examines the care needs of families with children and/or elderly household members and the provision of formal care services in Armenia with an emphasis on the availability, price, and quality characteristics. Based on the analysis of an independent mixed-methods dataset collected in several countries of Europe and Central Asia, this note documents the perceptions and barriers in the use of quality formal care in Armenia. Five main messages emerge from the assessment of supply and demand of formal childcare and eldercare in Armenia: 1) Although social norms strongly highlight the role of women as caregiver, there is scope for policy aimed at increasing access and affordability of childcare and early education: Around 24 percent of parents of children ages 0 to 5 currently not attending kindergarten report that the reason of no attendance is lack of the service or being unable to afford it. 2) The demand for childcare services is voiced predominantly by parents perceiving benefits for their childŐs development and working (or willing-to-work) mothers. 3) Use of childcare is regressive: There are significant differences in enrollment to kindergarten and nursery between the poorest and the richest households (12.7 and 36.4 percent respectively). A well-developed childcare sector not only would help generating economic participation opportunities for women but also implies potential improvements in the school readiness for children especially for the most vulnerable households. 4) Day-care centers and home-based formatsŃif availableŃwill be more compatible with prevailing standards of care for the elderly. 5) Quality is important for potential users of formal care services and the main challenges of the existing supply involves human resources (HR).;Access to and Use of Services, Access to Jobs;Eastern Europe;Technical note;World Bank Group;Jan-15;World Bank;http://hdl.handle.net/10986/32644;Care, Basic Services, Employment Access & Opportunities;
Tackling the Demographic Challenge in Uganda;At the moment, a child born in Uganda will be only 38 percent as productive when she grows up as she can be if she enjoyed complete education and full health, according to the human capital index (HCI) one of the lowest levels in the world. It will be necessary to ensure that the growing population bulge will be engaged in productive economic activities that are adding value to economy. This report examines what it will take for Uganda to tackle the demographic challenge in the next four decades. The report also explores the effort required to ensure that future generations of Ugandans enjoy higher levels of access to basic services, a necessary condition to fully benefit from a demographic transition. The main objective of the report is to inform policymakers and relevant stakeholders in Uganda as they formulate their plans for the medium term. The report is organized as follows: chapter one gives introduction. Chapter two characterizes UgandaŐs progress in terms of its demographic transition, describes its most recent demographic trends, and shows some correlates of the countryŐs fertility levels. The population projections under the medium and low-fertility variants for the period 2020-2060 are presented in chapter three, while chapter four explores the implications in terms of service delivery of these projections under the business as usual and enhanced equilibrium scenarios. Based on these same projections, chapter five presents the expected trends of select labor market and poverty indicators.;Human Capital, Access to and Use of Services;East Africa;Report;World Bank Group;Jan-20;World Bank;http://hdl.handle.net/10986/34676;Education, Youth, Productivity, Basic Services, Health, Children;
Is the baby to blame ? an inquiry into the consequences of early childbearing;Teenage pregnancy has been a cause of concern for policy makers because it is associated with a complex and often adverse social context for women. It is seen as the cause of lower social and economic achievement for mothers and their children, and as the potential determinant of inter-generational poverty traps. However, the question of whether pregnancy -- and the subsequent rearing of a child -- is actually the trigger of poverty, higher dependence on social welfare and/ or other undesirable social and economic consequences has not been studied in developing countries with enough rigor to establish a causal relation. This paper follows a methodology previously applied in the United States, using Mexican data from the National Survey of Demographic Dynamics, to exploit information about miscarriages as an instrument to identify the long-term consequences of early child bearing. Thus, the paper takes the advantage of a natural experiment: it compares the outcomes of women who became pregnant in adolescence, and gave birth, to outcomes of women who became pregnant in adolescence and miscarried. This approach only allows for estimating the costs of adolescent childbearing for teenagers in a risk group, that is, teenagers who are likely to experience a pregnancy. The results are consistent with findings in the United States, suggesting that, contrary to popular thinking, adolescent childbearing does not hamper significantly the lifelong opportunities of the young mothers. Actually, women who gave birth during their adolescence have on average 0.34 more years of education, and are 21 percentage points more likely to be employed, compared with their counterparts who miscarried. The results also suggest, however, greater dependence on social welfare among women who gave birth during adolescence: their social assistance income is 36 percent higher, and they are more likely to participate in social programs, especially the conditional cash transfer program Oportunidades.;Human Capital;Latin America;Working paper;World Bank Group;Jan-12;"Azevedo,Ę Joao Pedro Wagner De; Lopez-Calva, Luis F.; Perova,Elizaveta";http://documents.worldbank.org/curated/en/720411468125089861/Is-the-baby-to-blame-an-inquiry-into-the-consequences-of-early-childbearing;Social Protection, Youth, Poverty, Health;
Teenage pregnancy and opportunities in Latin America and the Caribbean on early child bearing, poverty, and economic achievement (Vol. 2) : Teenage pregnancy book;"The pregnancy project sought to expose the existence, and challenge the validity, of stereotypes about Hispanic women. The charade explored the underlying motivations of the many who responded with a wide range of reactions. The specific objectives of this regional study are: to establish a thorough description of the magnitude of the issue and its potential implications for social advancement; to advance the understanding of the risk factors, motivations and impacts at the household level-as a determinant of poverty and a cause of intra-and intergenerational poverty traps; to illuminate the coping mechanisms and their individual and social implications; to highlight the gender-related issues that have historically provoked asymmetric costs to boys and girls; and to provide elements that support specific policies on this matter. In the last decade, Latin America and the Caribbean (LAC) have been moving in the right direction and the region has experienced important gains in gender equality of endowments (assets) and economic opportunities. In most LAC countries, girls have been achieving gender parity in primary school enrollment and even outperforming boys at the secondary and tertiary level. The present report reviews the factors associated with teenage pregnancy and early childbearing and builds a framework to explore these issues systematically, towards the design of effective policy interventions in LAC. Teen pregnancy and early childbearing remain a challenge in the region, particularly given the association of these phenomena with poverty and lack of opportunities, and the concern that it may prevent women from taking full advantage of their human development assets and opportunities. The main message of the report is that poverty and lack of opportunities are key factors associated to early childbearing.";Human Capital;Latin America, Caribbean;Report;World Bank Group;Jan-13;"Azevedo, Joao Pedro; Favara, Marta; Haddock, Sarah E.; Lopez-Calva, Luis F.; Muller, Miriam; Perova, Elizaveta";http://documents.worldbank.org/curated/en/638771468017359353/Teenage-pregnancy-book-2013;Poverty, Employment Access & Opportunities, Youth, Health;
Gender Differences in Poverty in Colombia;This note presents the gender poverty profiles for Colombia using a lifecycle approach. In Colombia, as in the vast majority of countries around the world, girls and boys are consistently poorer than adults and seniors. Notwithstanding, the difference on poverty rates between women and men during their reproductive age in Colombia is around 6 p.p. while in the world is around 2 p.p. Another interesting finding is that the likelihood of being poor diminishes with formal education, for both women and men. Nevertheless, as the level of formal education increases, the share of women among the poor do so also. This note is organized as follows: section one presents the poverty rates for women and men, by education level, marital status, location, and employment type. Section two presents the results of the lifecycle approach. The authors present the gender poverty profile when variables as age, demographic, and economic composition are combined with gender, to define the profiles. And finally, section three presents some final remarks.;Other;Latin America;Technical note;World Bank Group;Jan-18;"Buitrago, Paola; Muller, Miriam; Olivieri, Sergio; Pico, Julieth";http://hdl.handle.net/10986/32008;Poverty;
Enhancing Youth Skills and Economic Opportunities to Reduce Teenage Pregnancy in Colombia;"The Government of Colombia (GoC) has identified teenage pregnancy as a priority issue. The current strategic framework to address teenage pregnancy in Colombia is outlined in the CONPES 147, effective from February 2012 until March 2014. The CONPES 147 establishes a multi-sectoral framework that aims to address the determining factors of teenage pregnancy within Colombia (Box 1). The national strategy outlined in the CONPES 147 was piloted in 192 municipalities for youth ages 10 through 19. Building on this strategy, the Commission for the Guarantee of Sexual and Reproductive Rights is developing a new framework to guide the governmentŐs policy and activities to address this important policy issue in the coming years. Parallel to its work on teenage pregnancy, the GoC released a national strategic framework to generate opportunities for Colombian youth in July 2014. The note includes an overview of the WDR 2012 gender equality framework and World Bank regional study on teenage pregnancy; outlines the Colombian country context with regard to gender equality and youth labor market outcomes; reviews interventions that develop life skills; and highlights how these interventions might be relevant to the GoC policies and programs related to teenage pregnancy prevention (CONPES 147) and youth labor (CONPES 173).";Human Capital, Access to Jobs;Latin America;Technical note;World Bank Group;Jan-15;"Gimenez, Lea; Van Wie, Sara Hause; Muller, Miriam; Schutte, Rebecca; Rounseville, Megan Zella; Viveros Mendoza, Martha Celmira";http://hdl.handle.net/10986/22344;Youth, Economic Empowerment, Other, Health;
A Snapshot of Gender in Brazil Today : Institutions, Outcomes, and a Closer Look at Racial and Geographic Differences;The Gender Diagnostic: ÔA Snapshot of Gender in Brazil Today: Institutions, Outcomes, and a Closer Look at Racial and Geographic Differences Gender issues in BrazilŐ highlights progress on gender equality in the country and lays out the main areas of persisting challenges. It details gender outcomes beyond the national aggregate and emphasizes that gender inequality in Brazil has to be understood at the intersection of gender/location of residence and gender/race.;Other;Latin America;Report;World Bank Group;Jan-16;"Gukovas, Renata; Muller, Miriam; Pereira, Ana Claudia; Reimao, Maira Emy";http://hdl.handle.net/10986/25976;Transportation & Mobility, Other, Discrimination;
Roadmap for the Design of an Integrated Case Management Platform for Violence against Women for the Chilean State;This World Bank study identified critical barriers to adequate and timely response to women survivors of violence, resulting in a proposed roadmap to create an integrated case management platform. The proposed roadmap has led to strengthened training for first responders, a strengthened hotline for women experiencing violence, and a draft law defining a governance structure and information sharing mandate that will allow for follow-up of cases of violence against women across institutions, improve service delivery, and provide alerts in high-risk cases.;Gender-Based Violence (GBV), Access to and Use of Services;Latin America;Study;World Bank Group;Jan-22;"Inchauste Comboni, Maria Gabriela; Contreras Urbina, Juan Manuel; PŽrez-Brito, Carlos; Beltr‡n, JosŽ; Matamala Soto, Constanza Alejandra; Reyes Olmedo, Patricia Margarita; Robaldo Salinas, Claudio Marcelo; Saavedra Facusse, Trinidad Berenice; Saez Molina, Natacha Alejandra; Arango, Diana Jimena; Bello, Giselle Marie";http://documents.worldbank.org/curated/en/755671624607466252/Hoja-de-Ruta-para-el-Diseno-de-una-Plataforma-Integrada-de-Gestion-de-Casos-de-Violencia-contra-las-Mujeres-para-el-Estado-Chileno;Gender-Based Violence (GBV), Basic Services, Legislation;
